Year,Units,Regions,GeoCode,Value
2010,тыс.га,,,12317.8
2011,тыс.га,,,12452.0
2012,тыс.га,,,12548.6
2013,тыс.га,,,12593.9
2014,тыс.га,,,12627.0
2015,тыс.га,,,12652.4
2016,тыс.га,,,12706.8
2017,тыс.га,,,12903.5
2018,тыс.га,,,12933.1
2010,тыс.га,Akmola,KZ03,373.7
2011,тыс.га,Akmola,KZ03,378.6
2012,тыс.га,Akmola,KZ03,378.0
2013,тыс.га,Akmola,KZ03,379.3
2014,тыс.га,Akmola,KZ03,379.4
2015,тыс.га,Akmola,KZ03,380.3
2016,тыс.га,Akmola,KZ03,382.1
2017,тыс.га,Akmola,KZ03,382.1
2018,тыс.га,Akmola,KZ03,383.8
2010,тыс.га,Aktobe,KZ04,47.3
2011,тыс.га,Aktobe,KZ04,47.2
2012,тыс.га,Aktobe,KZ04,47.9
2013,тыс.га,Aktobe,KZ04,49.8
2014,тыс.га,Aktobe,KZ04,50.3
2015,тыс.га,Aktobe,KZ04,51.6
2016,тыс.га,Aktobe,KZ04,51.7
2017,тыс.га,Aktobe,KZ04,51.9
2018,тыс.га,Aktobe,KZ04,52.5
2010,тыс.га,Almaty,KZ01,1797.6
2011,тыс.га,Almaty,KZ01,1850.9
2012,тыс.га,Almaty,KZ01,1851.7
2013,тыс.га,Almaty,KZ01,1854.4
2014,тыс.га,Almaty,KZ01,1856.2
2015,тыс.га,Almaty,KZ01,1870.6
2016,тыс.га,Almaty,KZ01,1882.3
2017,тыс.га,Almaty,KZ01,1928.7
2018,тыс.га,Almaty,KZ01,1949.5
2010,тыс.га,Atyrau,KZ06,15.8
2011,тыс.га,Atyrau,KZ06,15.8
2012,тыс.га,Atyrau,KZ06,15.8
2013,тыс.га,Atyrau,KZ06,16.4
2014,тыс.га,Atyrau,KZ06,16.4
2015,тыс.га,Atyrau,KZ06,16.5
2016,тыс.га,Atyrau,KZ06,16.5
2017,тыс.га,Atyrau,KZ06,16.6
2018,тыс.га,Atyrau,KZ06,18.7
2010,тыс.га,Batys Kazakhstan,KZ07,103.3
2011,тыс.га,Batys Kazakhstan,KZ07,104.6
2012,тыс.га,Batys Kazakhstan,KZ07,106.1
2013,тыс.га,Batys Kazakhstan,KZ07,106.1
2014,тыс.га,Batys Kazakhstan,KZ07,106.0
2015,тыс.га,Batys Kazakhstan,KZ07,103.9
2016,тыс.га,Batys Kazakhstan,KZ07,106.0
2017,тыс.га,Batys Kazakhstan,KZ07,91.2
2018,тыс.га,Batys Kazakhstan,KZ07,91.1
2010,тыс.га,Zhambyl,KZ17,2213.6
2011,тыс.га,Zhambyl,KZ17,2219.6
2012,тыс.га,Zhambyl,KZ17,2222.3
2013,тыс.га,Zhambyl,KZ17,2231.0
2014,тыс.га,Zhambyl,KZ17,2236.1
2015,тыс.га,Zhambyl,KZ17,2240.6
2016,тыс.га,Zhambyl,KZ17,2240.7
2017,тыс.га,Zhambyl,KZ17,2361.3
2018,тыс.га,Zhambyl,KZ17,2323.1
2010,тыс.га,Karagandy,KZ12,155.4
2011,тыс.га,Karagandy,KZ12,155.4
2012,тыс.га,Karagandy,KZ12,156.0
2013,тыс.га,Karagandy,KZ12,155.6
2014,тыс.га,Karagandy,KZ12,155.8
2015,тыс.га,Karagandy,KZ12,153.3
2016,тыс.га,Karagandy,KZ12,153.3
2017,тыс.га,Karagandy,KZ12,153.5
2018,тыс.га,Karagandy,KZ12,153.6
2010,тыс.га,Kostanay,KZ13,222.4
2011,тыс.га,Kostanay,KZ13,223.7
2012,тыс.га,Kostanay,KZ13,224.1
2013,тыс.га,Kostanay,KZ13,229.0
2014,тыс.га,Kostanay,KZ13,234.9
2015,тыс.га,Kostanay,KZ13,236.4
2016,тыс.га,Kostanay,KZ13,238.2
2017,тыс.га,Kostanay,KZ13,240.0
2018,тыс.га,Kostanay,KZ13,241.3
2010,тыс.га,Kyzylorda,KZ14,3094.7
2011,тыс.га,Kyzylorda,KZ14,3088.2
2012,тыс.га,Kyzylorda,KZ14,3056.8
2013,тыс.га,Kyzylorda,KZ14,3055.0
2014,тыс.га,Kyzylorda,KZ14,3063.0
2015,тыс.га,Kyzylorda,KZ14,3059.1
2016,тыс.га,Kyzylorda,KZ14,3080.3
2017,тыс.га,Kyzylorda,KZ14,3103.2
2018,тыс.га,Kyzylorda,KZ14,3118.9
2010,тыс.га,Mangistau,KZ09,122.7
2011,тыс.га,Mangistau,KZ09,122.8
2012,тыс.га,Mangistau,KZ09,122.8
2013,тыс.га,Mangistau,KZ09,122.4
2014,тыс.га,Mangistau,KZ09,122.4
2015,тыс.га,Mangistau,KZ09,122.4
2016,тыс.га,Mangistau,KZ09,122.4
2017,тыс.га,Mangistau,KZ09,125.1
2018,тыс.га,Mangistau,KZ09,125.2
2010,тыс.га,Pavlodar,KZ11,247.0
2011,тыс.га,Pavlodar,KZ11,249.9
2012,тыс.га,Pavlodar,KZ11,249.3
2013,тыс.га,Pavlodar,KZ11,250.5
2014,тыс.га,Pavlodar,KZ11,253.1
2015,тыс.га,Pavlodar,KZ11,254.5
2016,тыс.га,Pavlodar,KZ11,257.1
2017,тыс.га,Pavlodar,KZ11,258.4
2018,тыс.га,Pavlodar,KZ11,261.6
2010,тыс.га,Soltustik Kazakhstan,KZ16,530.2
2011,тыс.га,Soltustik Kazakhstan,KZ16,529.4
2012,тыс.га,Soltustik Kazakhstan,KZ16,529.7
2013,тыс.га,Soltustik Kazakhstan,KZ16,529.3
2014,тыс.га,Soltustik Kazakhstan,KZ16,531.9
2015,тыс.га,Soltustik Kazakhstan,KZ16,534.0
2016,тыс.га,Soltustik Kazakhstan,KZ16,535.6
2017,тыс.га,Soltustik Kazakhstan,KZ16,537.2
2018,тыс.га,Soltustik Kazakhstan,KZ16,538.5
2010,тыс.га,Turkistan,KZ10,1603.4
2011,тыс.га,Turkistan,KZ10,1603.4
2012,тыс.га,Turkistan,KZ10,1614.1
2013,тыс.га,Turkistan,KZ10,1614.2
2014,тыс.га,Turkistan,KZ10,1616.8
2015,тыс.га,Turkistan,KZ10,1623.7
2016,тыс.га,Turkistan,KZ10,1630.1
2017,тыс.га,Turkistan,KZ10,1639.2
2018,тыс.га,Turkistan,KZ10,1654.4
2010,тыс.га,Shygys Kazakhstan,KZ15,1800.8
2011,тыс.га,Shygys Kazakhstan,KZ15,1862.5
2012,тыс.га,Shygys Kazakhstan,KZ15,1974.1
2013,тыс.га,Shygys Kazakhstan,KZ15,2000.8
2014,тыс.га,Shygys Kazakhstan,KZ15,2004.7
2015,тыс.га,Shygys Kazakhstan,KZ15,2005.3
2016,тыс.га,Shygys Kazakhstan,KZ15,2010.3
2017,тыс.га,Shygys Kazakhstan,KZ15,2015.3
2018,тыс.га,Shygys Kazakhstan,KZ15,2020.9
